Unique Code,State,Year,Population,Total Internet Subscriptions,Total Broadband Subscriptions,Total Wireless internet Subscriptions,Cases Reported,high_alert_volume
11,Madhya Pradesh,2014,75340054,15580000.0,2650000.0,14670000.0,289,0
11,Madhya Pradesh,2015,76789374,16559999.999999998,4590000.0,15620000.0,231,0
11,Madhya Pradesh,2016,78984511,20410000.0,7830000.0,19420000.0,258,0
11,Madhya Pradesh,2017,80894777,24770000.0,15040000.0,23730000.0,490,0
11,Madhya Pradesh,2018,82961852,25880000.0,21030000.0,24890000.0,740,0
11,Madhya Pradesh,2019,83849671,41400000.0,35370000.0,40370000.0,602,0
11,Madhya Pradesh,2020,85358965,48720000.0,44710000.0,47780000.0,699,0
12,Maharashtra,2014,117601135,25600000.0,5280000.0,24020000.0,1879,0
12,Maharashtra,2015,118861427,25580000.0,9300000.0,23960000.0,2195,0
12,Maharashtra,2016,119113673,29470000.0,13810000.0,27750000.0,2380,0
12,Maharashtra,2017,119581739,35940000.0,23360000.0,34120000.0,3604,0
12,Maharashtra,2018,124945748,39450000.0,34690000.0,37670000.0,3511,0
12,Maharashtra,2019,121924973,53470000.0,47220000.0,51610000.0,4967,0
12,Maharashtra,2020,123144223,63010000.0,58310000.0,61120000.0,5496,0
13,Odisha,2014,43983301,5100000.0,1200000.0,4810000.0,124,0
13,Odisha,2015,44369413,7290000.0,1500000.0,7000000.0,386,0
13,Odisha,2016,44621982,8289999.999999999,2900000.0,7970000.0,317,0
13,Odisha,2017,44912901,10510000.0,6010000.0,10190000.0,824,0
13,Odisha,2018,46172447,12200000.0,9140000.0,11890000.0,843,0
13,Odisha,2019,45861035,15810000.0,13590000.0,15550000.0,1485,0
13,Odisha,2020,46563343,19270000.0,17700000.0,19020000.0,1931,0
14,Punjab,2014,28653992,10120000.0,1550000.0,9100000.0,226,0
14,Punjab,2015,29303888,12920000.0,3400000.0,11860000.0,149,0
14,Punjab,2016,29560812,13460000.0,5180000.0,12330000.0,102,0
14,Punjab,2017,29893487,16649999.999999998,11760000.0,15500000.0,176,0
14,Punjab,2018,30471254,18630000.0,16390000.0,17590000.0,239,0
14,Punjab,2019,29875481,23580000.0,21670000.0,22540000.0,243,0
14,Punjab,2020,30141373,26130000.0,24590000.0,25100000.0,378,0
15,Rajasthan,2014,71903452,12520000.0,2280000.0,11780000.0,697,0
15,Rajasthan,2015,72583213,15750000.0,4050000.0,15030000.0,949,0
15,Rajasthan,2016,73981202,17240000.0,5720000.0,16489999.999999998,941,0
15,Rajasthan,2017,74082167,21550000.0,12720000.0,20770000.0,1304,0
15,Rajasthan,2018,77122315,26460000.0,21070000.0,25740000.0,1104,0
15,Rajasthan,2019,79584255,35970000.0,31790000.0,35240000.0,1762,0
15,Rajasthan,2020,81032689,42500000.0,39500000.0,41750000.0,1354,0
16,Tamil Nadu,2014,75003478,20420000.0,6510000.0,18250000.0,172,0
16,Tamil Nadu,2015,76304287,24130000.0,9820000.0,21940000.0,142,0
16,Tamil Nadu,2016,76891256,28010000.0,14880000.0,25730000.0,144,0
16,Tamil Nadu,2017,75844451,32320000.0,22770000.0,29900000.0,228,0
16,Tamil Nadu,2018,80288487,39570000.0,33410000.0,37180000.0,295,0
16,Tamil Nadu,2019,77177540,45480000.0,40950000.0,43080000.0,385,0
16,Tamil Nadu,2020,77841267,51640000.0,47510000.0,49170000.0,782,0
17,Uttar Pradesh,2014,20098931,14140000.0,1770000.0,13680000.0,1737,0
17,Uttar Pradesh,2015,211105381,20370000.0,3250000.0,19910000.0,2208,0
17,Uttar Pradesh,2016,220911891,22470000.0,5800000.0,22000000.0,2639,0
